end_year,YEAR,age_bin,total_hh,total_hh_se,total_persons,total_persons_se,hr,target_hr,target_hh,missing_hh
2015,2010,"[40,45)",190956,5248.27054468839,337693,7016.562385584653,0.5654721892369696,0.5676904858084848,191705.10322412467,749.1032241246721
2015,2010,"[45,50)",205433,5251.899832023477,364105,7016.473319934561,0.5642136196976147,0.5742919365315647,209102.56555082538,3669.565550825384
2015,2010,"[50,55)",213123,5230.914627698411,368319,6966.661895355907,0.5786369967338095,0.5842969783682872,215207.67877562917,2084.678775629174
2015,2010,"[55,60)",194829,4781.9690292542655,326230,6235.768493637034,0.5972136222910217,0.5971130348199094,194796.18534929905,-32.81465070095146
2015,2010,"[60,65)",162746,4218.975765054852,271853,5587.325975169487,0.5986544198519053,0.6028912310057017,163897.78982259304,1151.7898225930403
2015,2010,"[65,Inf)",348200,5952.772672266896,533734,7491.6537927242935,0.652384895846995,0.6501144584130709,346988.190346642,-1211.80965335801
2015,2011,"[15,20)",8673,1334.6332317698468,307159,7698.230765214854,0.028236190376970886,0.03440765266640974,10568.620185361748,1895.6201853617476
2015,2011,"[20,25)",95082,4284.668590503792,342815,8627.217238617775,0.27735659174773564,0.308675803540398,105818.69559070154,10736.695590701536
2015,2011,"[25,30)",161483,5527.1279630281715,366285,8691.560095386501,0.4408670843741895,0.459523342187128,168316.50739301217,6833.5073930121725
2015,2011,"[30,35)",178199,6077.289231328921,354954,8604.285989906137,0.502034066386067,0.5195428880104238,184413.82627085198,6214.826270851976
2015,2011,"[35,40)",181893,5923.040080495272,339075,8138.778426108636,0.5364388409643884,0.5403383706183326,183215.2330174111,1322.233017411112
2015,2011,"[40,45)",212982,6691.324625376356,364054,8426.549963520472,0.5850285946590341,0.5676904858084848,206669.99212052213,-6312.007879477867
2015,2011,"[45,50)",192252,5645.018270777253,352248,7802.165070028458,0.5457859235538598,0.5742919365315647,202293.1860593706,10041.186059370608
2015,2011,"[50,55)",214570,5657.547193077815,367420,7575.326705937464,0.5839910728866148,0.5842969783682872,214682.39579207607,112.39579207607312
2015,2011,"[55,60)",195002,5608.9358536225855,335948,7256.267224240223,0.5804529272387393,0.5971130348199094,200598.92982167893,5596.929821678932
2015,2011,"[60,65)",174669,4779.3520567241785,286183,6270.268322591304,0.6103402368414615,0.6028912310057017,172537.22116290475,-2131.7788370952476
2015,2011,"[65,Inf)",360595,6302.085883045583,557840,8072.150960302503,0.6464129499498064,0.6501144584130709,362659.8494811475,2064.849481147481
2015,2012,"[15,20)",7063,1078.5146111280533,307597,7227.766628649962,0.022961862436889826,0.03440765266640974,10583.690737229635,3520.6907372296355
2015,2012,"[20,25)",92645,4204.08584236254,351770,8417.186631688586,0.26336810984450065,0.308675803540398,108582.8874114058,15937.887411405798
2015,2012,"[25,30)",163788,5350.9774104761555,369913,8343.37302148892,0.4427743820844361,0.459523342187128,169983.65807846707,6195.658078467066
2015,2012,"[30,35)",180093,5699.80406511184,368667,8376.493351125488,0.4884977500020344,0.5195428880104238,191538.31789413892,11445.31789413892
2015,2012,"[35,40)",186724,5886.01720000164,340537,7991.013844831362,0.5483222087467735,0.5403383706183326,184005.20771525512,-2718.792284744879
2015,2012,"[40,45)",195136,5729.276779138905,357705,7917.040265015438,0.5455221481388295,0.5676904858084848,203065.72522612405,7929.72522612405
2015,2012,"[45,50)",200265,5514.78017978771,345589,7346.415254598918,0.5794889304925793,0.5742919365315647,198468.97605400693,-1796.0239459930744
2015,2012,"[50,55)",216452,5610.545304795778,368902,7455.569096290657,0.586746615632336,0.5842969783682872,215548.32391401788,-903.6760859821225
2015,2012,"[55,60)",204422,5150.7410787869385,347293,6829.692560408406,0.5886153766416253,0.5971130348199094,207373.1772017108,2951.177201710787
2015,2012,"[60,65)",174554,4623.9321193439855,288312,6013.6411938626425,0.6054343905213796,0.6028912310057017,173820.77659371588,-733.2234062841162
2015,2012,"[65,Inf)",374965,6409.510759811736,592518,8209.211786177992,0.6328330953658792,0.6501144584130709,385204.51866999594,10239.518669995945
2015,2013,"[15,20)",6937,1042.679780974566,312551,7322.204427096247,0.02219477781226104,0.03440765266640974,10754.14624853903,3817.1462485390293
2015,2013,"[20,25)",91695,4168.280526165561,351669,8434.726269474793,0.2607423457853834,0.308675803540398,108551.71115524821,16856.71115524821
2015,2013,"[25,30)",160931,5378.406225312898,380320,8692.480549516156,0.42314629785443836,0.459523342187128,174765.9175006085,13834.917500608513
2015,2013,"[30,35)",182506,5595.080149678404,374771,8379.142483374675,0.48698004915001425,0.5195428880104238,194709.60768255455,12203.607682554546
2015,2013,"[35,40)",188999,5706.92399730427,359568,7879.643586791354,0.525627975793174,0.5403383706183326,194288.3872464926,5289.38724649261
2015,2013,"[40,45)",194900,5599.606356726693,354518,7625.336693388469,0.5497605199171833,0.5676904858084848,201256.49564785243,6356.4956478524255
2015,2013,"[45,50)",183419,5216.304684464686,330267,7121.326219027653,0.5553658100869903,0.5742919365315647,189669.6750024703,6250.675002470292
2015,2013,"[50,55)",208022,5400.243527817039,370250,7258.108974543332,0.5618419986495611,0.5842969783682872,216335.95624085833,8313.95624085833
2015,2013,"[55,60)",202620,5329.714420791634,342787,6914.072410763309,0.5910959283753467,0.5971130348199094,204682.5858668123,2062.5858668122964
2015,2013,"[60,65)",181573,4774.696174617198,305269,6229.977729085589,0.5947967202696638,0.6028912310057017,184044.00319787956,2471.0031978795596
2015,2013,"[65,Inf)",401129,6819.366359270523,628534,8693.20046463026,0.6381977745038454,0.6501144584130709,408619.0410042011,7490.041004201106
2015,2014,"[15,20)",5323,914.4544042195016,305843,7122.6020274445555,0.017404354521764434,0.03440765266640974,10523.339714452753,5200.3397144527535
2015,2014,"[20,25)",92847,4282.316211195375,363428,8741.083305041024,0.2554756375403106,0.308675803540398,112181.42992907975,19334.42992907975
2015,2014,"[25,30)",164366,5366.983571155187,390124,9209.795395449595,0.42131732474802885,0.459523342187128,179271.08434741112,14905.084347411117
2015,2014,"[30,35)",192913,5845.232169916843,391544,8383.6547954806,0.4926981386510839,0.5195428880104238,203423.90054315337,10510.900543153373
2015,2014,"[35,40)",194764,5793.981515919098,364552,7892.618139311194,0.5342557440365161,0.5403383706183326,196981.43368565437,2217.433685654367
2015,2014,"[40,45)",192569,5689.618832093651,353591,7841.611056100772,0.544609449901157,0.5676904858084848,200730.24656750794,8161.246567507944
2015,2014,"[45,50)",183480,5354.642725406434,333834,7329.237139222639,0.5496144790524632,0.5742919365315647,191718.17434007837,8238.174340078374
2015,2014,"[50,55)",207186,5341.784829478511,361966,7148.393731923087,0.5723907770343071,0.5842969783682872,211495.64007205545,4309.640072055452
2015,2014,"[55,60)",198800,5154.807960241159,343236,6911.304235570295,0.5791933247095293,0.5971130348199094,204950.68961944644,6150.689619446435
2015,2014,"[60,65)",189536,5005.149425703882,318239,6447.448396168259,0.5955775376368075,0.6028912310057017,191863.5024640235,2327.502464023506
2015,2014,"[65,Inf)",417816,6969.352336830968,665060,8974.550619717997,0.6282380537094397,0.6501144584130709,432365.12171219697,14549.121712196968
2015,2015,"[15,20)",7157,1474.237939923123,317065,7485.058520068104,0.02257265860312554,0.03440765266640974,10909.462392675203,3752.462392675203
2015,2015,"[20,25)",92717,4299.480628676736,360683,8776.205752292291,0.2570595231824067,0.308675803540398,111334.11484836137,18617.114848361365
2015,2015,"[25,30)",170895,5561.366446827508,413390,8868.188238125987,0.4133989694961175,0.459523342187128,189962.35442673683,19067.354426736827
2015,2015,"[30,35)",195382,5705.444665851885,402707,8379.237508375087,0.48517160118895375,0.5195428880104238,209223.55780201373,13841.557802013733
2015,2015,"[35,40)",199913,5886.68508366467,383774,8207.274841501023,0.5209133500445575,0.5403383706183326,207367.81784567997,7454.817845679965
2015,2015,"[40,45)",189591,5531.682515313657,344424,7485.444212519603,0.550458156226047,0.5676904858084848,195526.22788410156,5935.227884101565
2015,2015,"[45,50)",183957,5323.755283500637,338313,7274.700762628136,0.5437479493841502,0.5742919365315647,194290.42792380328,10333.427923803276
2015,2015,"[50,55)",202892,5310.255061949325,360305,7125.642127314056,0.563111808051512,0.5842969783682872,210525.1227909857,7633.122790985712
2015,2015,"[55,60)",204407,5022.607544804194,353375,6732.740593967389,0.578442164839052,0.5971130348199094,211004.8186794855,6597.818679485499
2015,2015,"[60,65)",191116,5034.889940977218,322975,6551.378981652081,0.591736202492453,0.6028912310057017,194718.79533406653,3602.7953340665263
2015,2015,"[65,Inf)",436704,7082.630340808396,692608,9051.964267193076,0.6305211605987803,0.6501144584130709,450274.47481256025,13570.47481256025
2015,2016,"[15,20)",6396,954.6956543682976,322060,7495.322241047569,0.01985965348071788,0.03440765266640974,11081.32861774392,4685.32861774392
2015,2016,"[20,25)",91914,4411.180436554803,371412,8956.654849779006,0.24747181028076637,0.308675803540398,114645.89754454629,22731.897544546286
2015,2016,"[25,30)",168669,5526.271536919437,414590,8823.874428344385,0.40683325695265204,0.459523342187128,190513.7824373614,21844.7824373614
2015,2016,"[30,35)",194905,5570.676845828124,400913,8263.914362322856,0.48615285610593817,0.5195428880104238,208291.49786092303,13386.497860923031
2015,2016,"[35,40)",206481,5822.997967320088,391583,8269.09732679344,0.5272981717796738,0.5403383706183326,211587.32018183853,5106.320181838528
2015,2016,"[40,45)",186008,5464.230368802284,344686,7483.697325116215,0.5396447781459067,0.5676904858084848,195674.96279138338,9666.962791383383
2015,2016,"[45,50)",198254,5592.5512482868,356643,7497.697662545484,0.5558892225558892,0.5742919365315647,204817.19912042684,6563.1991204268415
2015,2016,"[50,55)",201183,5379.886847606753,353437,7220.734180204544,0.5692188423962403,0.5842969783682872,206512.17114355232,5329.1711435523175
2015,2016,"[55,60)",206647,5159.174956733879,364471,6914.342049609702,0.5669778939888221,0.5971130348199094,217630.3849138472,10983.3849138472
2015,2016,"[60,65)",193509,4944.94690010482,325307,6400.481202927678,0.5948504028502307,0.6028912310057017,196124.73768477183,2615.737684771826
2015,2016,"[65,Inf)",455084,7255.291157434331,727828,9305.977350155947,0.6252631116142825,0.6501144584130709,473171.50603786856,18087.50603786856
2015,2017,"[15,20)",6754,1160.046702216689,329119,7374.548096059578,0.020521452726825252,0.03440765266640974,11324.212237916106,4570.2122379161065
2015,2017,"[20,25)",86799,3962.351183596766,352191,8387.624499541256,0.24645433869690025,0.308675803540398,108712.83992469631,21913.83992469631
2015,2017,"[25,30)",169197,5467.691005495789,429649,9204.684411029682,0.39380284837157775,0.459523342187128,197433.74444735734,28236.74444735734
2015,2017,"[30,35)",201036,5842.5105292590215,421863,8664.221833270969,0.47654333278813266,0.5195428880104238,219175.92136474143,18139.92136474143
2015,2017,"[35,40)",204719,5871.515069316079,389891,8179.719319725769,0.5250672623887189,0.5403383706183326,210673.0676587523,5954.06765875229
2015,2017,"[40,45)",192922,5512.322584843679,364929,7847.572622740216,0.5286562591627413,0.5676904858084848,207166.72129560454,14244.72129560454
2015,2017,"[45,50)",197084,5431.609015443527,361833,7385.267919006164,0.544682215276108,0.5742919365315647,207797.77427102567,10713.774271025672
2015,2017,"[50,55)",193556,5191.353215403632,340313,6947.3023916629145,0.5687587603177076,0.5842969783682872,198843.85759944693,5287.857599446928
2015,2017,"[55,60)",207226,5291.632204429712,359666,7106.17625477361,0.5761623283824437,0.5971130348199094,214761.25678153752,7535.256781537522
