YEAR,msa,HH,NEWHH,MISSINGHH,housing_units_seasonal,housing_units_uninhabitable,housing_units_vacant,housing_units,vacancy_rate,necessary_units,available_units,underproduction
2015,"Grand Junction, CO",51626,54331.12095545415,2705.120955454148,505,365,1274,55435,0.022981870659330748,57190.65363732016,54565,2625.6536373201598
2015,Not in identifiable area,466108,485389.72615066945,19281.726150669438,90678,3052,26873,604528,0.04445286239843316,510936.55384281,510798,138.5538428099826
2015,"Pueblo, CO",58639,60521.904400169886,1882.9044001698885,685,170,2708,66084,0.040978149022456264,63707.26778965251,65229,-1521.7322103474871
2016,"Colorado Springs, CO",267599,281311.8864744831,13712.88647448313,4781,223,8266,285536,0.028949064216070828,296117.77523629804,280532,15585.775236298039
2016,"Denver-Aurora-Lakewood, CO",1124076,1190755.515715167,66679.51571516696,11885,2142,28360,1177769,0.024079424742882518,1253426.8586475442,1163742,89684.85864754417
2016,"Fort Collins, CO",131404,138183.3501716354,6779.3501716353985,6971,215,3181,143273,0.022202368904120105,145456.1580754057,136087,9369.158075405692
2016,"Grand Junction, CO",53441,55236.23654437337,1795.2365443733734,926,NA,907,57759,0.01570318045672536,58143.406888814076,56833,1310.4068888140755
2016,Not in identifiable area,473058,498179.9928135472,25121.9928135472,91051,1562,23127,608163,0.038027634038900755,524399.9924353128,515550,8849.99243531283
2016,"Pueblo, CO",59472,63960.09687397527,4488.09687397527,281,482,2756,66640,0.04135654261704682,67326.41776207923,65877,1449.4177620792325
2017,"Colorado Springs, CO",268122,287054.1654590005,18932.165459000502,5639,NA,5247,284800,0.018423455056179774,302162.2794305269,279161,23001.27943052689
2017,"Denver-Aurora-Lakewood, CO",1140881,1213640.2100196688,72759.21001966874,13058,2508,38275,1205162,0.03175921577348108,1277516.0105470198,1189596,87920.01054701977
2017,"Fort Collins, CO",134709,141393.7464857883,6684.746485788291,7649,303,3791,148552,0.02551968334320642,148835.52261661924,140600,8235.522616619244
2017,"Grand Junction, CO",54980,56815.894665250475,1835.8946652504776,508,114,1637,58443,0.02801019797067228,59806.20491078997,57821,1985.204910789973
2017,Not in identifiable area,478485,504483.0764739188,25998.076473918798,96592,1528,21655,621147,0.03486292294738604,531034.8173409671,523027,8007.817340967129
2017,"Pueblo, CO",61990,65379.487476412745,3389.4874764127476,827,107,796,67391,0.01181166624623466,68820.51313306605,66457,2363.5131330660515
2018,"Colorado Springs, CO",271698,289701.4363776145,18003.436377614515,4282,532,7279,288688,0.025214071939256223,304948.88039748895,283874,21074.880397488945
2018,"Denver-Aurora-Lakewood, CO",1164261,1240791.4218760463,76530.42187604634,9418,661,37159,1223774,0.0303642666047816,1306096.233553733,1213695,92401.23355373298
2018,"Fort Collins, CO",139391,142828.36758339644,3437.36758339643,6469,235,3588,151840,0.02363013698630137,150345.65008778573,145136,5209.6500877857325
2018,"Grand Junction, CO",55510,57415.75411890538,1905.7541189053825,848,NA,1217,58997,0.020628167533942404,60437.63591463725,58149,2288.635914637249
2018,Not in identifiable area,483755,517077.87121342967,33322.871213429695,99195,2057,23437,633187,0.037014341734748185,544292.4960141366,531935,12357.496014136588
2018,"Pueblo, CO",62153,65050.15181802713,2897.1518180271332,291,629,1684,67642,0.024895774814464387,68473.84401897593,66722,1751.8440189759276
2019,"Colorado Springs, CO",275798,294965.2952650561,19167.2952650561,5131,872,7939,293652,0.027035402449157506,310489.7844895327,287649,22840.7844895327
