YEAR,msa,HH,HH_se,NEWHH,NEWHH_se,MISSINGHH,MISSINGHH_se,housing_units_seasonal,housing_units_seasonal_se,housing_units_uninhabitable,housing_units_uninhabitable_se,housing_units_vacant,housing_units_vacant_se,housing_units,housing_units_se,vacancy_rate,necessary_units,necessary_units_se,available_units,available_units_se,underproduction,underproduction_se
2009,Not in identifiable area,394090,7321.324350915533,408138.0563613989,7071.790517881273,14048.056361398909,10178.998545048733,85738,4075.925816661888,1554,437.10430271414134,24098,2163.1389948952733,519218,8791.801015487255,0.04641210435693678,429619.00669620937,13198.41347098772,431926,9700.515271381455,-2306.9933037906303,16379.80813933591
2009,"Pueblo, CO",57486,2733.75737641173,58690.072435876245,2659.7023283173735,1204.0724358762477,3814.1114126808625,673,328.36017704806085,464,295.40443392323226,3372,858.5485973314412,64274,2980.3337387604183,0.05246289323832343,61779.02361671184,4939.621623719344,63137,3012.88456132096,-1357.976383288158,5785.960176613898
2010,"Colorado Springs, CO",235116,5688.143793267608,243649.5901909334,5361.362019454183,8533.590190933399,7816.596606998128,1501,542.4127835721545,483,341.5681472718898,13302,1790.2432504775904,253120,6032.3144412993415,0.052552149178255375,256473.2528325615,10175.967687181024,251136,6066.275459103537,5337.2528325614985,11846.9412219473
2010,"Denver-Aurora-Lakewood, CO",1007898,11610.452899678501,1041788.0750164555,10997.56527930879,33890.075016455434,15992.156158827087,10767,1427.6830633060288,4903,1067.1286589357849,46958,3240.6159760906976,1082269,12202.060925482772,0.043388473660430076,1096619.026333111,20802.505579536897,1066599,12331.558430837786,30020.026333111105,24182.87765589179
2010,"Fort Collins, CO",112902,3929.14624351388,116459.32037327236,3725.867977980634,3557.32037327236,5414.820624199912,2481,763.5361201332718,441,331.965141103859,4442,1039.5517742294282,122002,4193.554273874179,0.03640923919280012,122588.75828765513,7042.291917531035,119080,4275.404742195137,3508.7582876551314,8238.504789177925
2010,"Grand Junction, CO",55778,2937.4087370484526,58498.37288423818,2843.1314564922145,2720.3728842381806,4088.002760197714,1305,585.9630186337299,258,257.99999999464313,1776,637.6623478515417,60582,3137.8372243671593,0.02931563830840844,61577.23461498757,5298.840792675257,59019,3202.489516895846,2558.2346149875666,6191.41767707099
2010,"Greeley, CO",89127,3535.3607711880363,90810.77320125508,3306.699086241864,1683.7732012550887,4840.767979299157,104,73.55263892724818,358,256.2223494940104,3656,901.4279714373102,96459,3756.103716838931,0.03790211385148094,95590.28758026852,6309.805095686785,95997,3765.5510904414277,-406.71241973148426,7347.993968443328
2010,Not in identifiable area,399736,7248.726332586749,409249.7624510097,6942.176116962792,9513.762451009714,10036.824332609649,89880,4167.228607220938,3692,835.8072361784418,26970,2298.219930598434,534092,8803.686477472216,0.050496918133954447,430789.22363264184,13032.321895682628,440520,9775.953334305354,-9730.776367358165,16291.429574693708
2010,"Pueblo, CO",60085,2795.0264806313844,62222.49361865495,2694.5021196271905,2137.493618654954,3882.3336667661742,384,222.14821877158786,695,404.56451922300283,3600,879.3685345740778,65738,2998.0373071887007,0.05476284645106331,65497.361703847324,5035.572927875445,64659,3033.3562231648307,838.361703847324,5878.626088514636
2011,"Colorado Springs, CO",237721,6301.900897528173,248167.79925683435,5933.990093885925,10446.799256834349,8655.991760428304,2295,672.0496335364725,912,488.12393741402246,9525,1527.910608508132,254569,6629.9602624425615,0.03741618186032078,261229.2623756151,11270.54102720177,251362,6681.787842320386,9867.2623756151,13102.342684253792
2011,"Denver-Aurora-Lakewood, CO",1011853,12856.74528841003,1056194.114268448,12071.356010518652,44341.11426844792,17635.575843837316,10752,1491.1488202024514,5815,1390.6552827589564,43777,3514.370353838054,1083819,13491.400289374218,0.04039143067246468,1111783.2781773137,22973.1731963373,1067252,13644.60804448348,44531.27817731374,26719.69340012145
2011,"Fort Collins, CO",115112,4494.578886872748,119699.72133293566,4348.066434661243,4587.721332935655,6253.5526775225935,1128,509.40578738533577,236,236.0000000035326,2643,762.6991382330625,121200,4654.354118238696,0.021806930693069305,125999.70666624806,8106.504379388447,119836,4688.091564185672,6163.706666248065,9364.486946289846
2011,"Grand Junction, CO",58595,3240.4216668916415,59005.08001553642,3098.9033261559225,410.08001553642106,4483.696511152494,826,405.0396373796006,85,85.0000000010447,1211,479.41096248469086,61503,3335.0244480627684,0.019690096418060906,62110.61054266992,5823.238095823037,60592,3360.605626524057,1518.6105426699214,6723.375052581096
2011,"Greeley, CO",90461,4636.453501547529,92384.20999345831,4198.126616120406,1923.209993458312,6254.675703582953,829,637.6037301815749,214.00000000000003,214.0000000012942,2841,1008.6995867411174,97039,4851.990742145162,0.02927688867362607,97246.53683521927,8195.510508657197,95996,4898.382251172766,1250.5368352192745,9547.802950213987
2011,Not in identifiable area,402170,7810.715215963719,413691.6282783393,7531.197519874813,11521.628278339267,10850.170886592326,90854,4554.3452900148095,2787,747.9749935838508,29881,2674.0359302570605,539830,9568.877736668137,0.05535261100716892,435464.87187193613,14072.762259812784,446189,10623.791637217382,-10724.128128063865,17632.571745840734
2011,"Pueblo, CO",59488,2692.1428478707544,61237.05102270324,2511.3844715417904,1749.05102270324,3681.6687897260526,1222,482.76477753000853,1392,612.4012653643249,3738,851.1751830555164,66701,2943.3318820769296,0.05604113881351104,64460.05370810868,4801.006149232579,64087,3044.8809021526517,373.05370810868044,5685.152570799045
2012,"Colorado Springs, CO",247966,6324.111434066617,262417.5476921759,6034.857647204479,14451.547692175873,8741.5040040324,6148,1284.492027364675,445,267.69531645158287,10394,1644.471545676779,269696,6739.721620832667,0.03853968913146654,276228.9975707115,11357.122927925335,263103,6866.25284104313,13125.997570711479,13271.385356365032
2012,"Denver-Aurora-Lakewood, CO",1052875,12455.072750443695,1108583.512084048,11782.585703133864,55708.5120840481,17145.208166439377,12444,1719.331991557856,3971,920.3473860096393,35592,2947.6628162799293,1115639,12968.378163448584,0.03190279292853692,1166930.0127200505,22307.02410498475,1099224,13114.18979572658,67706.01272005052,25876.346311230067
