msa,AGEGROUP,MET2013,NEWHR,PUMA,age_dummy,YEAR,NEWHH_,NEWHH__se,HH,HH_se,NEWHH,NEWHH_se,MISSINGHH,MISSINGHH_se
"Denver-Aurora-Lakewood, CO","[15,20)",19740,0.09021227547785995,808,TRUE,2005,447.00182499279606,93.47592268208736,116.99999999999999,116.99999999995674,447.00182499279606,93.47592268208736,330.00182499279606,149.75562801196304
"Denver-Aurora-Lakewood, CO","[15,20)",19740,0.09021227547785995,809,TRUE,2005,171.2228988569782,54.3044710556283,0,0,171.2228988569782,54.3044710556283,171.2228988569782,54.3044710556283
"Denver-Aurora-Lakewood, CO","[15,20)",19740,0.09021227547785995,810,TRUE,2005,287.0554605705504,71.16758527805001,194,193.99999999968313,287.0554605705504,71.16758527805001,93.0554605705504,206.6417798853503
"Denver-Aurora-Lakewood, CO","[15,20)",19740,0.09021227547785995,811,TRUE,2005,268.2913072711555,59.4204865417038,356,277.1550413979964,356,277.1550413979964,0,391.9564184251231
"Denver-Aurora-Lakewood, CO","[15,20)",19740,0.09021227547785995,812,TRUE,2005,291.9269234463548,90.86211677151864,556,556.000000001194,556,556.000000001194,0,786.3027406811294
"Denver-Aurora-Lakewood, CO","[15,20)",19740,0.09021227547785995,813,TRUE,2005,106.99175871674191,43.64732076475707,0,0,106.99175871674191,43.64732076475707,106.99175871674191,43.64732076475707
"Denver-Aurora-Lakewood, CO","[15,20)",19740,0.09021227547785995,814,TRUE,2005,116.10319854000575,55.4184847855896,800,565.8224642304881,800,565.8224642304881,0,800.1938028101217
"Denver-Aurora-Lakewood, CO","[15,20)",19740,0.09021227547785995,815,TRUE,2005,124.13209105753529,41.04741956341955,396,280.3681566372283,396,280.3681566372283,0,396.5004495739126
"Denver-Aurora-Lakewood, CO","[15,20)",19740,0.09021227547785995,816,TRUE,2005,265.6751512822976,67.22133589923166,109,108.99999999990716,265.6751512822976,67.22133589923166,156.67515128229758,128.06134467534335
"Denver-Aurora-Lakewood, CO","[15,20)",19740,0.09021227547785995,817,TRUE,2005,292.55840937469986,57.84413314640104,152,108.81064113631687,292.55840937469986,57.84413314640104,140.55840937469986,123.23026967411418
"Denver-Aurora-Lakewood, CO","[15,20)",19740,0.09021227547785995,818,TRUE,2005,220.47880126788974,59.602253246070354,453,316.4786263801984,453,316.4786263801984,0,447.56836562808417
"Denver-Aurora-Lakewood, CO","[15,20)",19740,0.09021227547785995,819,TRUE,2005,175.91393718182692,35.567541378607324,137,98.73603348679944,175.91393718182692,35.567541378607324,38.913937181826924,104.94691185749738
"Denver-Aurora-Lakewood, CO","[15,20)",19740,0.09021227547785995,820,TRUE,2005,158.86381711651137,33.685648613250905,0,0,158.86381711651137,33.685648613250905,158.86381711651137,33.685648613250905
"Denver-Aurora-Lakewood, CO","[15,20)",19740,0.09021227547785995,821,TRUE,2005,346.41513783498226,100.66215031069746,365,295.3235545023396,365,295.3235545023396,0,417.6505760654386
"Denver-Aurora-Lakewood, CO","[15,20)",19740,0.09021227547785995,822,TRUE,2005,237.61913360868311,58.3586662490595,370,215.4298884525285,370,215.4298884525285,0,304.6638699900888
"Denver-Aurora-Lakewood, CO","[20,25)",19740,0.3084410135928847,801,TRUE,2005,1879.6395368350395,386.8999364850098,1620,622.2937131872175,1879.6395368350395,386.8999364850098,259.6395368350395,732.7625988848228
"Denver-Aurora-Lakewood, CO","[20,25)",19740,0.3084410135928847,804,TRUE,2005,2268.2752139620743,325.6343848635742,2192,644.0953032946466,2268.2752139620743,325.6343848635742,76.2752139620743,721.7316068537535
"Denver-Aurora-Lakewood, CO","[20,25)",19740,0.3084410135928847,805,TRUE,2005,2622.673938580299,351.5224468199037,2508,674.3852052266074,2622.673938580299,351.5224468199037,114.67393858029891,760.5020944394469
"Denver-Aurora-Lakewood, CO","[20,25)",19740,0.3084410135928847,806,TRUE,2005,3540.9028360463167,541.9927230489992,3360,1108.3346626491698,3540.9028360463167,541.9927230489992,180.90283604631668,1233.7592294559413
"Denver-Aurora-Lakewood, CO","[20,25)",19740,0.3084410135928847,807,TRUE,2005,2695.4660177882197,428.73878750034055,1915,624.025551097026,2695.4660177882197,428.73878750034055,780.4660177882197,757.1161313360119
"Denver-Aurora-Lakewood, CO","[20,25)",19740,0.3084410135928847,808,TRUE,2005,2271.359624098003,354.9779886437563,1739,538.7835279957573,2271.359624098003,354.9779886437563,532.3596240980032,645.2108666638541
"Denver-Aurora-Lakewood, CO","[20,25)",19740,0.3084410135928847,809,TRUE,2005,2589.67075012586,377.2851603898207,2424,626.8756269777919,2589.67075012586,377.2851603898207,165.6707501258602,731.6537049377747
"Denver-Aurora-Lakewood, CO","[20,25)",19740,0.3084410135928847,810,TRUE,2005,2543.4045980869273,432.2744895351816,2771,764.0504450727744,2771,764.0504450727744,0,1080.5305017591172
"Denver-Aurora-Lakewood, CO","[20,25)",19740,0.3084410135928847,811,TRUE,2005,2093.6976002685014,511.166139675433,2107,956.655916161217,2107,956.655916161217,0,1352.9157711596517
"Denver-Aurora-Lakewood, CO","[20,25)",19740,0.3084410135928847,812,TRUE,2005,1758.113777479443,294.95783308419783,2933,788.2143422485585,2933,788.2143422485585,0,1114.7034128649
"Denver-Aurora-Lakewood, CO","[20,25)",19740,0.3084410135928847,813,TRUE,2005,1899.688202718577,331.1761851865344,2848,731.2151741602481,2848,731.2151741602481,0,1034.0944163104277
"Denver-Aurora-Lakewood, CO","[20,25)",19740,0.3084410135928847,814,TRUE,2005,1437.9520053700287,209.49310193141733,2788,518.6011977506153,2788,518.6011977506153,0,733.4128473218516
"Denver-Aurora-Lakewood, CO","[20,25)",19740,0.3084410135928847,815,TRUE,2005,3337.331767075013,440.28508005639753,5891,1125.5441307988135,5891,1125.5441307988135,0,1591.759774825119
"Denver-Aurora-Lakewood, CO","[20,25)",19740,0.3084410135928847,816,TRUE,2005,2132.869608994798,313.0434634186783,2796,700.2107077542696,2796,700.2107077542696,0,990.2474794249517
"Denver-Aurora-Lakewood, CO","[20,25)",19740,0.3084410135928847,817,TRUE,2005,1238.6991105890252,206.8183488690908,806,292.19130460756315,1238.6991105890252,206.8183488690908,432.69911058902517,357.9798708268479
"Denver-Aurora-Lakewood, CO","[20,25)",19740,0.3084410135928847,818,TRUE,2005,2253.4700453096157,364.64985434411824,3329,774.0604445954392,3329,774.0604445954392,0,1094.6867788434179
"Denver-Aurora-Lakewood, CO","[20,25)",19740,0.3084410135928847,819,TRUE,2005,2625.449907702635,344.6211327426733,2494,591.4529962553593,2625.449907702635,344.6211327426733,131.44990770263485,684.5293068322826
